name,screen_name,party,total_tweets,covid_tweets
"Höferlin, Manuel",ManuelHoeferlin,FDP,192,28
"Höhn, Matthias",MatthiasHoehn,Die Linke,394,30
"Holm, Leif-Erik",Leif_Erik_Holm,AfD,66,14
"Holtz, Ottmar von",OWvonHoltz,Bündnis 90/Die Grünen,103,9
"Houben, Reinhard",HoubenReinhard,FDP,116,15
"Jongen, Dr. Marc",Marc_Jongen,AfD,58,17
"Jung, Dr. Christian",c_jung77,FDP,1578,265
"Jung, Ingmar",Ingmar_Jung,CDU,8,1
"Juratovic, Josip",josip_juratovic,SPD,61,8
"Kaiser, Elisabeth",Kaiser_SPD,SPD,235,36
"Kartes, Torbjörn",KartesMdB,CDU,22,7
"Katzmarek, Gabriele",GabyKatzmarek,SPD,19,0
"Kessler, Dr. Achim",AchimKesslerMdB,Die Linke,691,184
"Kestner, Jens",KestnerJens,AfD,251,11
"Keuter, Stefan",StefanKeuterAfD,AfD,0,0
"Kleinwächter, Norbert",NKleinwaechter,AfD,145,45
"Kluckert, Daniela",DanielaKluckert,FDP,432,100
"Kober, Pascal",PascalKober,FDP,62,11
"Köhler, Dr. Lukas",koehler_fdp,FDP,459,26
"Komning, Enrico",EnricoKomning,AfD,30,3
"Konrad, Carina",carina_konrad,FDP,415,82
"Korkmaz-Emre, Elvan",KorkmazGT,SPD,197,11
"Kotré, Steffen",SteffenKotre,AfD,155,20
"Krauß, Alexander",kraussalex,CDU,0,0
"Kuffer, Michael",MichaelKuffer,CSU,10,0
"Kuhle, Konstantin Elias",KonstantinKuhle,FDP,1611,181
"Lambsdorff, Alexander Graf",Lambsdorff,FDP,1045,107
"Lehmann, Sven",svenlehmann,Bündnis 90/Die Grünen,917,107
"Lindh, Helge",helgelindh,SPD,248,54
"Lindner, Christian",c_lindner,FDP,1212,246
"Link, Michael",michael_g_link,FDP,133,18
"Löbel, Nikolas",NikolasLoebel,CDU,191,29
"Lucassen, Rüdiger",MdB_Lucassen,AfD,26,6
"Luksic, Oliver",OlliLuksic,FDP,2639,508
"Maas, Heiko",HeikoMaas,SPD,674,183
"Maier, Jens",JensMaierAfD,AfD,405,64
"Maier, Prof. Dr. Lothar",ProfMaier,AfD,117,29
"Matschie, Christoph",matschie,SPD,74,8
"Meiser, Pascal",pascalmeiser,Die Linke,187,46
"Meyer, Christoph",ChristophFDP,FDP,1148,137
"Miazga, Corinna",CorinnaMiazga,AfD,78,29
"Mohrs, Falko",FalkoMohrs,SPD,55,6
"Mrosek, Andreas",mrosek1958,AfD,278,20
"Müller, Claudia",GruenClaudia,Bündnis 90/Die Grünen,692,60
"Müller, Sepp",mueller_sepp,CDU,406,60
"Müller-Böhm, Roman",muellerboehm,FDP,4,3
"Münzenmaier, Sebastian",S_Muenzenmaier,AfD,440,141
"Nastic, Zaklin",ZaklinNastic,Die Linke,434,60
"Freihold, Brigitte",MdB_Freihold,Die Linke,230,48
"Nestle, Dr. Ingrid",Ingrid_Nestle,Bündnis 90/Die Grünen,412,47
"Neumann, Christoph",Neumann_AfD,AfD,0,0
"Nolte, Jan",Jan_Nolte_AfD,AfD,115,5
"Oehme, Ulrich",Ulrich_Oehme,AfD,0,0
"Ortleb, Josephine",joloulou,SPD,42,5
"Oster, Josef",josefoster,CDU,2,0
"Pasemann, Frank",Frank_Pasemann,AfD,397,33
"Pellmann, Sören",LINKEPELLI,Die Linke,797,134
"Perli, Victor",victorperli,Die Linke,690,105
"Peterka, Tobias",TobiasMPeterka,AfD,482,116
"Petry, Dr. Frauke",FraukePetry,Fraktionslos,588,59
